,Neural Network,Random Forest,KNN,XGBoost,SVR,Decision Tree
Mean Distance Error,0.1241,0.1159217372686471,0.11772492950932267,0.12317942676817666,0.13050049232684888,0.11666825141285599
Median Distance Error,0.1124,0.09918827064748272,0.08945920924599116,0.09903166088817893,0.11628845343993549,0.11061719527132564
90th Percentile Error,0.2175,0.24662394966003268,0.23259378587140764,0.2451276848143343,0.23161413369233108,0.23099886299362904
Training Time (s),83.613,0.19781851768493652,0.0026979446411132812,0.0992732048034668,0.034111976623535156,0.0021538734436035156
Inference Time (s),0.2496,0.011900663375854492,0.0031213760375976562,0.0032062530517578125,0.006934165954589844,0.00024271011352539062
Inference Time per Sample (ms),0.8788,0.04190374428117779,0.010990760695766396,0.011289623421682438,0.024416077304893816,0.0008546130757936289
RMSE,0.1464,0.14366129895664567,0.14659663994223118,0.16027402852632813,0.1524488125100698,0.14591091609103024
MSE,0.0214,0.020638568817910725,0.02149057484235217,0.025687764220058248,0.023240640435730417,0.021289995434523666
